Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange
Central Garden & Pet Company,CENT,1752.21,NO,NSDQ
Central Garden & Pet Company,CENTA,1635.8,NO,NSDQ
Century Aluminum Company,CENX,363.21,NO,NSDQ
Cerecor Inc.,CERC,148.63,NO,NSDQ
Cerus Corporation,CERS,917.86,NO,NSDQ
Central European Media Enterprises Ltd.,CETV,1011.89,NO,NSDQ
Cemtrex Inc.,CETX,6.25,NO,NSDQ
"CEVA, Inc.",CEVA,646.9,NO,NSDQ
"CrossFirst Bankshares, Inc.",CFB,437.1,NO,NSDQ
COMMNTY FST BCS,CFBI,54.04,NO,NSDQ
Central Federal Corporation,CFBK,54.62,NO,NSDQ
C&F Financial Corporation,CFFI,110.13,NO,NSDQ
Capitol Federal Financial,CFFN,1638.71,NO,NSDQ
"ConforMIS, Inc.",CFMS,49.02,NO,NSDQ
ContraFect Corporation,CFRX,101.96,NO,NSDQ
The Carlyle Group L.P.,CG,7863.01,NO,NSDQ
"TCG BDC, Inc.",CGBD,401.42,NO,NSDQ
Compugen Ltd.,CGEN,1016.04,NO,NSDQ
"Cancer Genetics, Inc.",CGIX,6.65,NO,NSDQ
Cognex Corporation,CGNX,8432.01,NO,NSDQ
"Comstock Holding Companies, Inc.",CHCI,15.24,NO,NSDQ
City Holding Company,CHCO,1044.36,NO,NSDQ
"Churchill Downs, Incorporated",CHDN,3452.4,NO,NSDQ
"The Chefs' Warehouse, Inc.",CHEF,342.21,NO,NSDQ
Sunshine Heart Inc,CHFS,13.85,NO,NSDQ
Check Point Software Technologies Ltd.,CHKP,15182.39,NO,NSDQ
"Chiasma, Inc.",CHMA,193.96,NO,NSDQ
Chemung Financial Corp,CHMG,128.48,NO,NSDQ
Change Healthcare Inc.,CHNG,1281.2,NO,NSDQ
"China Natural Resources, Inc.",CHNR,26.15,NO,NSDQ
"Coherus BioSciences, Inc.",CHRS,1228.4,NO,NSDQ
"Chuy's Holdings, Inc.",CHUY,243.72,NO,NSDQ
Cinedigm Corp,CIDM,21.36,NO,NSDQ
China Internet Nationwide Financial Services Inc.,CIFS,10.44,NO,NSDQ
Colliers International Group Inc.,CIGI,2003.77,NO,NSDQ
"Civista Bancshares, Inc.",CIVB,220.49,NO,NSDQ
Citizens Holding Company,CIZN,104.14,NO,NSDQ
"China Jo-Jo Drugstores, Inc.",CJJD,69.83,NO,NSDQ
"Checkpoint Therapeutics, Inc.",CKPT,84.76,NO,NSDQ
Clarus Corporation,CLAR,274.39,NO,NSDQ
COLUMBIA FINL,CLBK,1561.81,NO,NSDQ
"Caladrius Biosciences, Inc.",CLBS,23.94,NO,NSDQ
"Collectors Universe, Inc.",CLCT,174.41,NO,NSDQ
Cortland Bancorp,CLDB,55.09,NO,NSDQ
"Celldex Therapeutics, Inc.",CLDX,52.9,NO,NSDQ
"Clearfield, Inc.",CLFD,170.58,NO,NSDQ
CollPlant Holdings Ltd. Sponsored ADR,CLGN,63.67,NO,NSDQ
ClearSign Combustion Corporation,CLIR,20.3,NO,NSDQ
Cellectis S.A.,CLLS,512.14,NO,NSDQ
"Calumet Specialty Products Partners, L.P.",CLMT,126.09,NO,NSDQ
Clean Energy Fuels Corp.,CLNE,391.64,NO,NSDQ
CLPS Incorporation,CLPS,27.97,NO,NSDQ
"MRI Interventions, Inc.",CLPT,54.26,NO,NSDQ
"Cellectar Biosciences, Inc.",CLRB,13.72,NO,NSDQ
"ClearOne, Inc.",CLRO,29.47,NO,NSDQ
"Clearside Biomedical, Inc.",CLSD,98.71,NO,NSDQ
"Cleanspark, Inc.",CLSK,7.49,NO,NSDQ
Celsion Corporation,CLSN,34.23,NO,NSDQ
"Town Sports International Holdings, Inc.",CLUB,12.42,NO,NSDQ
"Clovis Oncology, Inc.",CLVS,663.24,NO,NSDQ
Euro Tech Holdings Company Limited,CLWT,6.71,NO,NSDQ
"Calyxt, Inc.",CLXT,142.19,NO,NSDQ
Cambium Networks Corporation,CMBM,143.04,NO,NSDQ
Columbus McKinnon Corporation,CMCO,576.62,NO,NSDQ
CIM Commercial Trust Corporation,CMCT,132.15,NO,NSDQ
"Cumulus Media, Inc.",CMLS,62.46,NO,NSDQ
Cimpress plc,CMPR,1528.03,NO,NSDQ
"Chimerix, Inc.",CMRX,88.91,NO,NSDQ
Comtech Telecommunications Corp.,CMTL,421.46,NO,NSDQ
Conatus Pharmaceuticals Inc.,CNAT,11.35,NO,NSDQ
"Century Bancorp, Inc.",CNBKA,350.33,NO,NSDQ
"Concert Pharmaceuticals, Inc.",CNCE,338.45,NO,NSDQ
Conduent Inc.,CNDT,382.58,NO,NSDQ
"ChinaNet Online Holdings, Inc.",CNET,13.64,NO,NSDQ
"Conifer Holdings, Inc.",CNFR,34.53,NO,NSDQ
"Cincinnati Bancorp, Inc.",CNNB,23.2,NO,NSDQ
"ConnectOne Bancorp, Inc.",CNOB,536.68,NO,NSDQ
"Consolidated Communications Holdings, Inc.",CNSL,415.89,NO,NSDQ
"CNS Pharmaceuticals, Inc.",CNSP,43.84,NO,NSDQ
"Constellation Pharmaceuticals, Inc.",CNST,1559.59,NO,NSDQ
Centogene N.V.,CNTG,370.61,NO,NSDQ
"Century Casinos, Inc.",CNTY,97.06,NO,NSDQ
"PC Connection, Inc.",CNXN,1096.22,NO,NSDQ
"Cocrystal Pharma, Inc.",COCP,47.56,NO,NSDQ
Coda Octopus Group Inc.,CODA,55.43,NO,NSDQ
"Co-Diagnostics, Inc.",CODX,395.12,NO,NSDQ
"ChoiceOne Financial Services, Inc.",COFS,180.88,NO,NSDQ
"Coherent, Inc.",COHR,2861.04,NO,NSDQ
"Cohu, Inc.",COHU,617.77,NO,NSDQ
Coca-Cola Bottling Co. Consolidated,COKE,2135.64,NO,NSDQ
"Columbia Banking System, Inc.",COLB,1786.54,NO,NSDQ
"Collegium Pharmaceutical, Inc.",COLL,705.33,NO,NSDQ
Columbia Sportswear Company,COLM,4609.75,NO,NSDQ
"CommScope Holding Company, Inc.",COMM,2081.73,NO,NSDQ
CyrusOne Inc,CONE,8367.12,NO,NSDQ
"Conn's, Inc.",CONN,125.6,NO,NSDQ
MR. COOPER GROUP INC,COOP,748.6,NO,NSDQ
"Core-Mark Holding Company, Inc.",CORE,1257,NO,NSDQ
Corcept Therapeutics Incorporated,CORT,1505.78,NO,NSDQ
Cardiome Pharma Corporation,CORV,27.3,NO,NSDQ
"Coupa Software, Inc.",COUP,10880.48,NO,NSDQ
"Cowen Group, Inc.",COWN,270.51,NO,NSDQ
CounterPath Corporation,CPAH,18.49,NO,NSDQ
Canterbury Park Holding Corporation,CPHC,45.13,NO,NSDQ
Cumberland Pharmaceuticals Inc.,CPIX,59.96,NO,NSDQ
Capital Product Partners L.P.,CPLP,184.15,NO,NSDQ
"Catalyst Pharmaceuticals, Inc.",CPRX,519.11,NO,NSDQ
CPS Technologies Corp.,CPSH,13.09,NO,NSDQ
"Computer Programs and Systems, Inc.",CPSI,331.48,NO,NSDQ
"Consumer Portfolio Services, Inc.",CPSS,63.62,NO,NSDQ
Capstone Turbine Corporation,CPST,11.85,NO,NSDQ
Capitala Finance Corp.,CPTA,61.95,NO,NSDQ
Charles River Associates,CRAI,292.41,NO,NSDQ
"Corbus Pharmaceuticals Holdings, Inc.",CRBP,432.77,NO,NSDQ
"Cree, Inc.",CREE,4111.02,NO,NSDQ
China Recycling Energy Corporation,CREG,5.98,NO,NSDQ
Cresud S.A.C.I.F. y A.,CRESY,149.33,NO,NSDQ
Wireless Ronin Technologies Inc.,CREX,8.03,NO,NSDQ
"Curis, Inc.",CRIS,28.17,NO,NSDQ
"America's Car-Mart, Inc.",CRMT,387.12,NO,NSDQ
Cerence Inc.,CRNC,702.91,NO,NSDQ
Ceragon Networks Ltd.,CRNT,189.34,NO,NSDQ
"Crinetics Pharmaceuticals, Inc.",CRNX,435.57,NO,NSDQ
Cronos Group Inc.,CRON,2162.67,NO,NSDQ
"Crocs, Inc.",CROX,1468.44,NO,NSDQ
CRISPR Therapeutics AG,CRSP,3288.56,NO,NSDQ
Criteo S.A.,CRTO,618.35,NO,NSDQ
"Cortexyme, Inc.",CRTX,1317.27,NO,NSDQ
"Cirrus Logic, Inc.",CRUS,4176.66,NO,NSDQ
CorVel Corp.,CRVL,893.48,NO,NSDQ
"Corvus Pharmaceuticals, Inc.",CRVS,74.91,NO,NSDQ
CrowdStrike Holdings Inc.,CRWD,14799.17,NO,NSDQ
"Crown Crafts, Inc.",CRWS,46.97,NO,NSDQ
"Champions Oncology, Inc.",CSBR,94.51,NO,NSDQ
CenterState Bank Corporation,CSFL,1962.29,NO,NSDQ
"CoStar Group, Inc.",CSGP,21752.47,NO,NSDQ
"CSG Systems International, Inc.",CSGS,1555.94,NO,NSDQ
"Cardiovascular Systems, Inc.",CSII,1450.81,NO,NSDQ
Canadian Solar Inc.,CSIQ,1002.11,NO,NSDQ
"Cornerstone OnDemand, Inc.",CSOD,1880.71,NO,NSDQ
CSP Inc.,CSPI,46.87,NO,NSDQ
"Chicken Soup for the Soul Entertainment, Inc.",CSSE,36.62,NO,NSDQ
Caesarstone Ltd.,CSTE,317.47,NO,NSDQ
"Castle Biosciences, Inc.",CSTL,506.3,NO,NSDQ
Capstar Financial Holdings Inc.,CSTR,175.2,NO,NSDQ
Capital Southwest Corporation,CSWC,244.77,NO,NSDQ
"CSW Industrials, Inc.",CSWI,995.14,NO,NSDQ
"Community Trust Bancorp, Inc.",CTBI,556.16,NO,NSDQ
"Computer Task Group, Incorporated",CTG,60.88,NO,NSDQ
Charles & Colvard Ltd,CTHR,20.29,NO,NSDQ
CTI Industries Corporation,CTIB,5.11,NO,NSDQ
CTI BioPharma Corp.,CTIC,64.99,NO,NSDQ
"CytomX Therapeutics, Inc.",CTMX,423.77,NO,NSDQ
CENTRIC BRANDS INC.,CTRC,34.84,NO,NSDQ
"CareTrust REIT, Inc.",CTRE,1432.99,NO,NSDQ
Castor Maritime Inc.,CTRM,1.58,NO,NSDQ
"Citi Trends, Inc.",CTRN,111.72,NO,NSDQ
Cytosorbents Corporation,CTSO,345.63,NO,NSDQ
"Citius Pharmaceuticals, Inc.",CTXR,25.51,NO,NSDQ
"The Herzfeld Caribbean Basin Fund, Inc.",CUBA,21.1,NO,NSDQ
"Cue Biopharma, Inc.",CUE,644.73,NO,NSDQ
"CUI Global, Inc.",CUI,23.69,NO,NSDQ
"Cutera, Inc.",CUTR,193.9,NO,NSDQ
CVB Financial Corporation,CVBF,2619.79,NO,NSDQ
"Cavco Industries, Inc.",CVCO,1253.68,NO,NSDQ
Central Valley Community Bancorp,CVCY,174.35,NO,NSDQ
"Covetrus, Inc.",CVET,979.68,NO,NSDQ
"Commercial Vehicle Group, Inc.",CVGI,48.87,NO,NSDQ
"Calavo Growers, Inc.",CVGW,1061.77,NO,NSDQ
"CommVault Systems, Inc.",CVLT,2009.44,NO,NSDQ
"Codorus Valley Bancorp, Inc",CVLY,121.06,NO,NSDQ
"Covenant Transportation Group, Inc.",CVTI,137.2,NO,NSDQ
CVD Equipment Corporation,CVV,24.05,NO,NSDQ
Community West Bancshares,CWBC,49.14,NO,NSDQ
Cohbar Inc.,CWBR,131.24,NO,NSDQ
Consolidated Water Co. Ltd.,CWCO,223.91,NO,NSDQ
"Casella Waste Systems, Inc.",CWST,2062.66,NO,NSDQ
China XD Plastics Company Limited,CXDC,59.58,NO,NSDQ
Celyad SA,CYAD,121.3,NO,NSDQ
Cyanotech Corporation,CYAN,12.75,NO,NSDQ
CyberOptics Corporation,CYBE,180.26,NO,NSDQ
CyberArk Software Ltd.,CYBR,3610.34,NO,NSDQ
"Cyclacel Pharmaceuticals, Inc.",CYCC,3.46,NO,NSDQ
"Cyclerion Therapeutics, Inc.",CYCN,100.2,NO,NSDQ
CYREN Ltd.,CYRN,53.35,NO,NSDQ
"CryoPort, Inc.",CYRX,678.74,NO,NSDQ
"Cytokinetics, Incorporated",CYTK,932.32,NO,NSDQ
Citizens & Northern Corp,CZNC,242.92,NO,NSDQ
Caesars Entertainment Corporation,CZR,6051.73,NO,NSDQ
"Citizens Community Bancorp, Inc.",CZWI,68.02,NO,NSDQ
Data I/O Corporation,DAIO,23.81,NO,NSDQ
"Daktronics, Inc.",DAKT,194.28,NO,NSDQ
"Dare Bioscience, Inc.",DARE,25.87,NO,NSDQ
DBV Technologies S.A.,DBVT,582.23,NO,NSDQ
"Dropbox, Inc.",DBX,8462.95,NO,NSDQ
WPCS International Incorporated,DCAR,2.37,NO,NSDQ
"Dime Community Bancshares, Inc.",DCOM,539.49,NO,NSDQ
"Deciphera Pharmaceuticals, Inc.",DCPH,2672.07,NO,NSDQ
"Datadog, Inc.",DDOG,12420.58,NO,NSDQ
Denny's Corporation,DENN,513.7,NO,NSDQ
RestorGenex Corp.,DFFN,15.23,NO,NSDQ
"Donegal Group, Inc.",DGICA,436.26,NO,NSDQ
"Donegal Group, Inc.",DGICB,403.2,NO,NSDQ
Digi International Inc.,DGII,298.72,NO,NSDQ
"Digital Ally, Inc.",DGLY,14.14,NO,NSDQ
Senior Housing Properties Trust,DHC,625.66,NO,NSDQ
"Diamond Hill Investment Group, Inc.",DHIL,337.64,NO,NSDQ
Diodes Incorporated,DIOD,2449.23,NO,NSDQ
"Discovery Communications, Inc.",DISCB,17855.46,NO,NSDQ
Daily Journal Corp. (S.C.),DJCO,358.66,NO,NSDQ
DLH Holdings Corp.,DLHC,62.89,NO,NSDQ
Dolphin Digital Media Inc.,DLPN,10,NO,NSDQ
Duluth Holdings Inc.,DLTH,105.7,NO,NSDQ
"DiaMedica Therapeutics, Inc.",DMAC,51.61,NO,NSDQ
"Dorchester Minerals, L.P.",DMLP,406.1,NO,NSDQ
"DelMar Pharmaceuticals, Inc.",DMPI,6.39,NO,NSDQ
Digimarc Corporation,DMRC,197.08,NO,NSDQ
Constellation Alpha Capital Corp.,DMTK,184.36,NO,NSDQ
Golden Bull Limited,DNJR,23.56,NO,NSDQ
"Dunkin' Brands Group, Inc.",DNKN,4714.79,NO,NSDQ
Denali Therapeutics Inc.,DNLI,2404.63,NO,NSDQ
DocuSign Inc.,DOCU,19241.15,NO,NSDQ
"Domo, Inc.",DOMO,464.53,NO,NSDQ
BRP Inc.,DOOO,1937.14,NO,NSDQ
"Dorman Products, Inc.",DORM,1877.43,NO,NSDQ
Amdocs Limited,DOX,8333.01,NO,NSDQ
DouYu International Holdings Limited Sponsored ADR,DOYU,2359.99,NO,NSDQ
Digirad Corporation,DRAD,6.21,NO,NSDQ
DarioHealth Corp.,DRIO,23.1,NO,NSDQ
"Dicerna Pharmaceuticals, Inc.",DRNA,1613.47,NO,NSDQ
DURECT Corporation,DRRX,399.47,NO,NSDQ
DIRTT Environmental Solutions Ltd.,DRTT,90.17,NO,NSDQ
The Descartes Systems Group Inc.,DSGX,3319.11,NO,NSDQ
Hennessy Capital Acquisition Corp. II,DSKE,91.73,NO,NSDQ
"DSP Group, Inc.",DSPG,400.15,NO,NSDQ
"Deswell Industries, Inc.",DSWL,34.28,NO,NSDQ
DAVIDsTEA Inc.,DTEA,19.14,NO,NSDQ
"Precision BioSciences, Inc.",DTIL,408.75,NO,NSDQ
Datasea Inc.,DTSS,45.23,NO,NSDQ
Fangdd Network Group Ltd.,DUO,801.31,NO,NSDQ
Dynavax Technologies Corporation,DVAX,297.84,NO,NSDQ
iShares Select Dividend ETF,DVY,12937.01,NO,NSDQ
Dawson Geophysical Company,DWSN,25.38,NO,NSDQ
"Destination XL Group, Inc.",DXLG,14.29,NO,NSDQ
"DXP Enterprises, Inc.",DXPE,234.01,NO,NSDQ
"The Dixie Group, Inc.",DXYN,10.76,NO,NSDQ
Dyadic International Inc.,DYAI,164.7,NO,NSDQ
Dynatronics Corporation,DYNT,7.7,NO,NSDQ
"DASAN Zhone Solutions, Inc.",DZSI,116.39,NO,NSDQ
Auris Medical Holding AG,EARS,1.63,NO,NSDQ
"Eastside Distilling, Inc.",EAST,19.23,NO,NSDQ
"Ebix, Inc.",EBIX,530.89,NO,NSDQ
"Eagle Bancorp Montana, Inc.",EBMT,111.15,NO,NSDQ
"Meridian Bancorp, Inc.",EBSB,549.17,NO,NSDQ
Enterprise Bancorp Inc,EBTC,274.59,NO,NSDQ
"Echo Global Logistics, Inc.",ECHO,428.14,NO,NSDQ
"US Ecology, Inc.",ECOL,976.16,NO,NSDQ
"electroCore, Inc.",ECOR,31.76,NO,NSDQ
Encore Capital Group Inc,ECPG,737.33,NO,NSDQ
EDAP TMS S.A.,EDAP,63.79,NO,NSDQ
"Editas Medicine, Inc.",EDIT,1372.42,NO,NSDQ
"Xspand Products Lab, Inc.",EDNT,16.82,NO,NSDQ
EURODRY LTD,EDRY,11.06,NO,NSDQ
"Stellar Biotechnologies, Inc.",EDSA,21.08,NO,NSDQ
Educational Development Corporation,EDUC,41.03,NO,NSDQ
"Euronet Worldwide, Inc.",EEFT,4342.96,NO,NSDQ
"Energy Focus, Inc.",EFOI,5.1,NO,NSDQ
Enterprise Financial Services Corporation,EFSC,724.9,NO,NSDQ
eGain Corporation,EGAN,249.08,NO,NSDQ
"Eagle Bancorp, Inc.",EGBN,1022.96,NO,NSDQ
Eagle Bulk Shipping Inc.,EGLE,113.55,NO,NSDQ
NIC Inc.,EGOV,1741.2,NO,NSDQ
"Eagle Pharmaceuticals, Inc.",EGRX,702.83,NO,NSDQ
EHang Holdings Limited Unsponsored ADR,EH,678.89,NO,NSDQ
"eHealth, Inc.",EHTH,2987.22,NO,NSDQ
"Eidos Therapeutics, Inc.",EIDX,2001.75,NO,NSDQ
"Endurance International Group Holdings, Inc.",EIGI,388.43,NO,NSDQ
"Eiger BioPharmaceuticals, Inc.",EIGR,197.7,NO,NSDQ
"Ekso Bionics Holdings, Inc.",EKSO,22.99,NO,NSDQ
"Endologix, Inc.",ELGX,17.37,NO,NSDQ
Senesco Technologies Inc.,ELOX,101.52,NO,NSDQ
"Electro-Sensors, Inc.",ELSE,11.15,NO,NSDQ
Eltek Ltd.,ELTK,8.58,NO,NSDQ
iShares J.P. Morgan USD Emerging Markets Bond ETF,EMB,12136,NO,NSDQ
Emclaire Financial Corp,EMCF,61.31,NO,NSDQ
EMCORE Corporation,EMKR,75.9,NO,NSDQ
Eastern Company (The),EML,120.94,NO,NSDQ
Emmis Communications Corporation,EMMS,24.21,NO,NSDQ
Endo International plc,ENDP,934.56,NO,NSDQ
ENGlobal Corporation,ENG,23.74,NO,NSDQ
Bio Blast Pharma Ltd.,ENLV,63.58,NO,NSDQ
Enochian BioSciences Inc.,ENOB,166.25,NO,NSDQ
"Enphase Energy, Inc.",ENPH,4672.9,NO,NSDQ
"The Ensign Group, Inc.",ENSG,1953.44,NO,NSDQ
Global Eagle Entertainment Inc.,ENT,8.69,NO,NSDQ
"Enanta Pharmaceuticals, Inc.",ENTA,1067.93,NO,NSDQ
"Entegris, Inc.",ENTG,6893.22,NO,NSDQ
Entera Bio Ltd.,ENTX,22.43,NO,NSDQ
"Evolus, Inc.",EOLS,143.68,NO,NSDQ
"Bottomline Technologies, Inc.",EPAY,1709.71,NO,NSDQ
ESSA Pharma Inc.,EPIX,84.92,NO,NSDQ
Epsilon Energy Ltd.,EPSN,75.28,NO,NSDQ
"Epizyme, Inc.",EPZM,1826.98,NO,NSDQ
"Equillium, Inc.",EQ,50.21,NO,NSDQ
"Equity Bancshares, Inc.",EQBK,260.17,NO,NSDQ
"Eldorado Resorts, Inc.",ERI,1386.34,NO,NSDQ
Erie Indemnity Company,ERIE,8006,NO,NSDQ
"Energy Recovery, Inc.",ERII,421.74,NO,NSDQ
Erytech Pharma SA Sponsored ADR,ERYP,95.26,NO,NSDQ
Elmira Savings Bank NY (The),ESBK,38.25,NO,NSDQ
"Escalade, Incorporated",ESCA,106.43,NO,NSDQ
Euroseas Ltd.,ESEA,12.87,NO,NSDQ
Enstar Group Limited,ESGR,2992.71,NO,NSDQ
Elbit Systems Ltd.,ESLT,5637.02,NO,NSDQ
"Esperion Therapeutics, Inc.",ESPR,1105.5,NO,NSDQ
"Esquire Financial Holdings, Inc.",ESQ,115.38,NO,NSDQ
"ESSA Bancorp, Inc.",ESSA,122.95,NO,NSDQ
Establishment Labs Holdings Inc.,ESTA,388.63,NO,NSDQ
"Eton Pharmaceuticals, Inc.",ETON,98.45,NO,NSDQ
"Etsy, Inc.",ETSY,7849.54,NO,NSDQ
Entasis Therapeutics Holdings Inc.,ETTX,35.76,NO,NSDQ
"Everbridge, Inc.",EVBG,4082.03,NO,NSDQ
"EverQuote, Inc.",EVER,1040.71,NO,NSDQ
"Neothetics, Inc.",EVFM,269.05,NO,NSDQ
Evogene Ltd.,EVGN,27.04,NO,NSDQ
"Ever-Glory International Group, Inc.",EVK,10.96,NO,NSDQ
"Evelo Biosciences, Inc.",EVLO,166.89,NO,NSDQ
"Evoke Pharma, Inc.",EVOK,28.61,NO,NSDQ
"Evolving Systems, Inc.",EVOL,10.46,NO,NSDQ
"EVO Payments, Inc.",EVOP,1350.91,NO,NSDQ
"Envision Solar International, Inc.",EVSI,38.71,NO,NSDQ
"East West Bancorp, Inc.",EWBC,4312.75,NO,NSDQ
Exact Sciences Corporation,EXAS,11165.59,NO,NSDQ
"Exelixis, Inc.",EXEL,8102.08,NO,NSDQ
EXFO Inc,EXFO,121.65,NO,NSDQ
"ExlService Holdings, Inc.",EXLS,1931.31,NO,NSDQ
"Exp World Holdings, Inc.",EXPI,555.15,NO,NSDQ
"Exponent, Inc.",EXPO,3629.38,NO,NSDQ
"Extreme Networks, Inc.",EXTR,363.82,NO,NSDQ
"National Vision Holdings, Inc.",EYE,2058.91,NO,NSDQ
"Eyegate Pharmaceuticals, Inc.",EYEG,26.28,NO,NSDQ
"Eyenovia, Inc.",EYEN,60.71,NO,NSDQ
"Second Sight Medical Products, Inc.",EYES,27.24,NO,NSDQ
"EYEPOINT PHARMACEUTICALS, INC.",EYPT,107.59,NO,NSDQ
"EZCORP, Inc.",EZPW,286.45,NO,NSDQ
"Farmmi, Inc.",FAMI,6.49,NO,NSDQ
Fanhua Inc.,FANH,1263.79,NO,NSDQ
Farmer Brothers Company,FARM,131.3,NO,NSDQ
"FARO Technologies, Inc.",FARO,876.49,NO,NSDQ
FAT Brands Inc.,FAT,34.44,NO,NSDQ
"Fate Therapeutics, Inc.",FATE,2332.78,NO,NSDQ
"Fortress Biotech, Inc.",FBIO,163.43,NO,NSDQ
"First Business Financial Services, Inc.",FBIZ,125.64,NO,NSDQ
"The First Bancshares, Inc.",FBMS,392.05,NO,NSDQ
First Bancorp,FBNC,674.39,NO,NSDQ
"Fauquier Bankshares, Inc.",FBSS,49.33,NO,NSDQ
"First Capital, Inc.",FCAP,169.57,NO,NSDQ
"First Community Bancshares, Inc.",FCBC,389.73,NO,NSDQ
First Choice Bancorp,FCBP,165.06,NO,NSDQ
First Community Corporation,FCCO,108.28,NO,NSDQ
1st Constitution Bancorp (NJ),FCCY,106.7,NO,NSDQ
"FuelCell Energy, Inc.",FCEL,440.93,NO,NSDQ
"First Cash, Inc.",FCFS,2760.46,NO,NSDQ
"First Citizens BancShares, Inc.",FCNCA,3514.61,NO,NSDQ
Fidelity D&D Bancorp Inc.,FDBC,148.01,NO,NSDQ
First Defiance Financial Corp.,FDEF,554.82,NO,NSDQ
First Trust Strategic Income ETF,FDIV,58.08,NO,NSDQ
Fidus Investment Corporation,FDUS,209.38,NO,NSDQ
"Frequency Electronics, Inc.",FEIM,89.89,NO,NSDQ
"Franklin Electric Co., Inc.",FELE,2267.57,NO,NSDQ
Adherex Technologies Inc.,FENC,150.81,NO,NSDQ
"FireEye, Inc.",FEYE,2508.23,NO,NSDQ
First Financial Bancorp.,FFBC,1350.99,NO,NSDQ
"FFBW, Inc.",FFBW,64.72,NO,NSDQ
"Fuwei Films (Holdings) Co., Ltd.",FFHL,7.45,NO,NSDQ
Flushing Financial Corporation,FFIC,323.33,NO,NSDQ
"First Financial Bankshares, Inc.",FFIN,3682.13,NO,NSDQ
"First Financial Northwest, Inc.",FFNW,90.14,NO,NSDQ
First Foundation Inc.,FFWM,545.18,NO,NSDQ
"First Guaranty Bancshares, Inc.",FGBI,122.55,NO,NSDQ
"FibroGen, Inc",FGEN,3595.68,NO,NSDQ
"First Hawaiian, Inc.",FHB,2176.86,NO,NSDQ
"First Interstate BancSystem, Inc.",FIBK,1903.65,NO,NSDQ
"Financial Institutions, Inc.",FISI,271.73,NO,NSDQ
"Five Below, Inc.",FIVE,4502.73,NO,NSDQ
"Five9, Inc.",FIVN,5991.41,NO,NSDQ
"Homology Medicines, Inc.",FIXX,596.68,NO,NSDQ
National Beverage Corp.,FIZZ,2395.13,NO,NSDQ
Fluidigm Corporation,FLDM,162.73,NO,NSDQ
Flex Ltd.,FLEX,4082.34,NO,NSDQ
FULGENT GENETIC,FLGT,350.87,NO,NSDQ
The First of Long Island Corporation,FLIC,350.47,NO,NSDQ
"Full House Resorts, Inc.",FLL,31.68,NO,NSDQ
Osprey Energy Acquisition Corp.,FLMN,179.66,NO,NSDQ
"FLUENT, INC.",FLNT,130.55,NO,NSDQ
"1-800 FLOWERS.COM, Inc.",FLWS,1022.29,NO,NSDQ
"Flexion Therapeutics, Inc.",FLXN,370.48,NO,NSDQ
"Flexsteel Industries, Inc.",FLXS,67.29,NO,NSDQ
Farmers & Merchants Bancorp Inc.,FMAO,249.31,NO,NSDQ
"First Mid-Illinois Bancshares, Inc.",FMBH,402.28,NO,NSDQ
"First Midwest Bancorp, Inc.",FMBI,1445.45,NO,NSDQ
Farmers National Banc Corp.,FMNB,313.47,NO,NSDQ
"FNCB Bancorp, Inc.",FNCB,117.82,NO,NSDQ
FEDNAT HOLDING CO,FNHC,159.95,NO,NSDQ
"Finjan Holdings, Inc.",FNJN,34.27,NO,NSDQ
"Funko, Inc.",FNKO,173.6,NO,NSDQ
"First Bancorp, Inc (ME)",FNLC,216.24,NO,NSDQ
First Northwest Bancorp,FNWB,108.19,NO,NSDQ
Focus Financial Partners Inc.,FOCS,1384.36,NO,NSDQ
"Amicus Therapeutics, Inc.",FOLD,3297.88,NO,NSDQ
Fonar Corporation,FONR,115.54,NO,NSDQ
"Forward Industries, Inc.",FORD,10.01,NO,NSDQ
Fuling Global Inc.,FORK,23.22,NO,NSDQ
"FormFactor, Inc.",FORM,1720.94,NO,NSDQ
"Forrester Research, Inc.",FORR,619.39,NO,NSDQ
Formula Systems (1985) Ltd.,FORTY,1036.66,NO,NSDQ
"Fossil Group, Inc.",FOSL,168.44,NO,NSDQ
Fox Factory Holding Corp.,FOXF,1668.81,NO,NSDQ
FlexShopper Inc.,FPAY,22.85,NO,NSDQ
"Five Prime Therapeutics, Inc.",FPRX,109.9,NO,NSDQ
Franklin Financial Services Corp.,FRAF,111.27,NO,NSDQ
Francesca's Holdings Corporation,FRAN,7.12,NO,NSDQ
First Bank,FRBA,131.32,NO,NSDQ
"Republic First Bancorp, Inc.",FRBK,115.94,NO,NSDQ
"Frequency Therapeutics, Inc.",FREQ,506.9,NO,NSDQ
"Liberty Tax, Inc.",FRG,260.23,NO,NSDQ
"Fiesta Restaurant Group, Inc.",FRGI,154,NO,NSDQ
BMB Munai Inc.,FRHC,876.03,NO,NSDQ
First Merchants Corporation,FRME,1422.56,NO,NSDQ
"FRP Holdings, Inc.",FRPH,416.43,NO,NSDQ
"Freshpet, Inc.",FRPT,3054.15,NO,NSDQ
Foresight Autonomous Holdings Ltd. American Depositary Shares,FRSX,19.53,NO,NSDQ
FORTERRA INC,FRTA,437.76,NO,NSDQ
"FSB Bancorp, Inc.",FSBC,23.87,NO,NSDQ
"FS Bancorp, Inc.",FSBW,158.13,NO,NSDQ
"ForeScout Technologies, Inc.",FSCT,1544.6,NO,NSDQ
